'barcode';'name';'volume';'quantity'
"7801620350215";"Kem";"2000";"1"
"7801610350355";"Coca-Cola Zero";"350";"1"
"7801620004132";"Whatt´s Nectar de Fruta Platano";"1500";"1"
"7801610022726";"Coca-Cola Light";"1500";"1"
"7801620011611";"WATT'S DURAZNO 6PF-PET 1500";"1500";"1"
"7801610000571";"Coca-Cola Original";"591";"1"
"7801610350355";"Coca-Cola Zero";"350";"1"
"7801610022122";"Coca-Cola Light";"350";"1"
"7801610022122";"Coca-Cola Light";"350";"1"
"7802820441529";"Benedictino Gasificada";"1500";"1"
"7802820600100";"VITAL CON GAS";"600";"1"
"7801620167721";"WATT'S TUTIPAPAYA 6PF-PET 1500";"1500";"1"
"7801610350850";"Coca-Cola Zero";"2500";"2"
"7801620151058";"Canada Dry Ginger Ale Light";"1500";"1"
"7801620011840";"GATORADE FRUT TROP 6PF-PET500";"500";"1"
"7801610350355";"Coca-Cola Zero";"350";"1"
"7801620852955";"CACHANTUN C/GAS 6PF-PET 1600";"1600";"1"
"7802820441529";"Benedictino Gasificada";"1500";"1"
"7801620001193";"BILZ 6PF-PET 3000";"3000";"1"
"7802820600100";"VITAL CON GAS";"600";"1"
"7801620006624";"Cachantun Mas sin Gas Manzana";"1600";"1"
"7807910019015";"Jumbo Doble Zero Cola";"1500";"1"
"7807910019015";"Jumbo Doble Zero Cola";"1500";"1"
"7801620006624";"Cachantun Mas sin Gas Manzana";"1600";"1"
"7807910019015";"Jumbo Doble Zero Cola";"1500";"1"
"7801620006631";"Cachantun Mas sin Gas Granada";"1600";"1"
"7801610200933";"Coca-Cola Zero";"1750";"1"
"7801620015817";"Cachantun Sin Gas";"500";"1"
"7801610001622";"Coca-Cola Original";"1500";"1"
"7801610350409";"COCA COLA ZERO";"1500";"1"
"7801610001622";"Coca-Cola Original";"1500";"1"
"7801610022726";"Coca-Cola Light";"1500";"1"
"7801620006631";"Cachantun Mas sin Gas Granada";"1600";"1"
"7801620004132";"Whatt´s Nectar de Fruta Platano";"1500";"1"
"7801610200933";"Coca-Cola Zero";"1750";"1"
"7801610001622";"Coca-Cola Original";"1500";"1"
"7801610350409";"COCA COLA ZERO";"1500";"1"
"7801610001622";"Coca-Cola Original";"1500";"3"
"7807910019015";"Jumbo Doble Zero Cola";"1500";"1"
"7807910019015";"Jumbo Doble Zero Cola";"1500";"1"
"9002490100070";"ENERGIZANTE RED BULL";"250";"1"
"7801620016067";"BILZ 6PFX4-PET 250";"250";"1"
"7801610001974";"coca cola original pet 1 litro x 6";"1000";"1"
"7801620300180";"PAP PET 1500 X 06";"1500";"1"
"7801610001622";"Coca-Cola Original";"1500";"1"
"7802100006097";"LEMON STONES 6PFX4-LAT350CC";"350";"1"
"7801610001974";"coca cola original pet 1 litro x 6";"1000";"1"
"7801620016036";"KEM 12PF-PET 500";"500";"1"
"8936020052960";"Maily Coffe Latte";"250";"1"
"7802130000263";"Stella Artois Premium Lager Beer";"354";"1"
"7801620006624";"Cachantun Mas sin Gas Manzana";"1600";"1"
"7802130000263";"Stella Artois Premium Lager Beer";"354";"1"
"7801620006631";"Cachantun Mas sin Gas Granada";"1600";"1"
"7802820000030";"Andina Nectar Damasco Pt 1,5x6";"1500";"1"
"7807910019015";"Jumbo Doble Zero Cola";"1500";"1"
"7801610200933";"Coca-Cola Zero";"1750";"1"
"7801610001196";"COCA COLA";"350";"1"
"7801620006624";"Cachantun Mas sin Gas Manzana";"1600";"1"
"8936020052977";"Maily Coffee Capuchino";"250";"1"
"7802820441512";"Benedictino PT 1.5 Lt*6 S/G";"1500";"1"
"7802130000263";"Stella Artois Premium Lager Beer";"354";"1"
"7801620015800";"CACHANTUN C/GAS 12PF-PET 500";"500";"1"
"7801620015800";"CACHANTUN C/GAS 12PF-PET 500";"500";"1"
"7801620011611";"WATT'S DURAZNO 6PF-PET 1500";"1500";"1"
"7801620004132";"Whatt´s Nectar de Fruta Platano";"1500";"1"
"7801610000601";"COCA COLA ZERO";"591";"1"
"7801620340186";"LIMON SODA 6PF-PET 1500";"1500";"1"
"7802820210422";"And.Nectar Durazno Pet 2.0  x6";"2000";"1"
"7802820210422";"And.Nectar Durazno Pet 2.0  x6";"2000";"1"
